Postal_Code,Place_Name,County
8128,Aba,Fejér
8127,Aba,Fejér
5241,Abádszalók,Jász-Nagykun-Szolnok
7678,Abaliget,Baranya
3261,Abasár,Heves
3882,Abaújalpár,Borsod-Abaúj-Zemplén
3882,Abaújkér,Borsod-Abaúj-Zemplén
3815,Abaújlak,Borsod-Abaúj-Zemplén
3881,Abaújszántó,Borsod-Abaúj-Zemplén
3809,Abaújszolnok,Borsod-Abaúj-Zemplén
3898,Abaújvár,Borsod-Abaúj-Zemplén
9151,Abda,Győr-Moson-Sopron
3753,Abod,Borsod-Abaúj-Zemplén
2740,Abony,Pest
8256,Ábrahámhegy,Veszprém
2941,Ács,Komárom-Esztergom
2683,Acsa,Pest
9746,Acsád,Vas
9168,Acsalag,Győr-Moson-Sopron
2887,Ácsteszér,Komárom-Esztergom
3292,Adács,Heves
8653,Ádánd,Somogy
8561,Adásztevel,Veszprém
2457,Adony,Fejér
8497,Adorjánháza,Veszprém
7841,Adorjás,Baranya
7381,Ág,Baranya
6076,Ágasegyháza,Bács-Kiskun
9423,Ágfalva,Győr-Moson-Sopron
3759,Aggtelek,Borsod-Abaúj-Zemplén
9441,Agyagosszergény,Győr-Moson-Sopron
4524,Ajak,Szabolcs-Szatmár-Bereg
8447,Ajka,Veszprém
8448,Ajka,Veszprém
8451,Ajka,Veszprém
8400,Ajka,Veszprém
2862,Aka,Komárom-Esztergom
6221,Akasztó,Bács-Kiskun
3779,Alacska,Borsod-Abaúj-Zemplén
7011,Alap,Fejér
5142,Alattyán,Jász-Nagykun-Szolnok
2730,Albertirsa,Pest
8087,Alcsútdoboz,Fejér
3353,Aldebrő,Heves
6750,Algyő,Csongrád
8921,Alibánfa,Zala
7934,Almamellék,Baranya
2931,Almásfüzitő,Komárom-Esztergom
8935,Almásháza,Zala
5747,Almáskamarás,Békés
7932,Almáskeresztúr,Baranya
4285,Álmosd,Hajdú-Bihar
3985,Alsóberecki,Borsod-Abaúj-Zemplén
7443,Alsóbogát,Somogy
3717,Alsódobsza,Borsod-Abaúj-Zemplén
3837,Alsógagy,Borsod-Abaúj-Zemplén
7345,Alsómocsolád,Baranya
7147,Alsónána,Tolna
2351,Alsónémedi,Pest
8924,Alsónemesapáti,Zala
7148,Alsónyék,Tolna
8226,Alsóörs,Veszprém
8394,Alsópáhok,Zala
2617,Alsópetény,Nógrád
8767,Alsórajk,Zala
3989,Alsóregmec,Borsod-Abaúj-Zemplén
8973,Alsószenterzsébet,Zala
7012,Alsószentiván,Fejér
7826,Alsószentmárton,Baranya
9983,Alsószölnök,Vas
3726,Alsószuha,Borsod-Abaúj-Zemplén
3735,Alsótelekes,Borsod-Abaúj-Zemplén
3069,Alsótold,Nógrád
9842,Alsóújlak,Vas
3811,Alsóvadász,Borsod-Abaúj-Zemplén
3571,Alsózsolca,Borsod-Abaúj-Zemplén
6916,Ambrózfalva,Csongrád
4546,Anarcs,Szabolcs-Szatmár-Bereg
8675,Andocs,Somogy
3399,Andornaktálya,Heves
9811,Andrásfa,Vas
2529,Annavölgy,Komárom-Esztergom
8477,Apácatorna,Veszprém
4553,Apagy,Szabolcs-Szatmár-Bereg
2345,Apaj,Pest
7186,Aparhant,Tolna
6931,Apátfalva,Csongrád
9982,Apátistvánfalva,Vas
7720,Apátvarasd,Baranya
3032,Apc,Heves
2338,Áporka,Pest
6088,Apostag,Bács-Kiskun
4634,Aranyosapáti,Szabolcs-Szatmár-Bereg
7671,Aranyosgadány,Baranya
3885,Arka,Borsod-Abaúj-Zemplén
3663,Arló,Borsod-Abaúj-Zemplén
3713,Arnót,Borsod-Abaúj-Zemplén
3467,Ároktő,Borsod-Abaúj-Zemplén
6623,Árpádhalom,Csongrád
9132,Árpás,Győr-Moson-Sopron
4115,Ártánd,Hajdú-Bihar
6783,Ásotthalom,Csongrád
9177,Ásványráró,Győr-Moson-Sopron
3841,Aszaló,Borsod-Abaúj-Zemplén
2170,Aszód,Pest
8241,Aszófő,Veszprém
7763,Áta,Baranya
3371,Átány,Heves
3213,Atkár,Heves
7252,Attala,Tolna
7757,Babarc,Baranya
7814,Babarcszőlős,Baranya
7584,Babócsa,Somogy
2943,Bábolna,Komárom-Esztergom
8658,Bábonymegyer,Somogy
8983,Babosdöbréte,Zala
9351,Babót,Győr-Moson-Sopron
6430,Bácsalmás,Bács-Kiskun
6453,Bácsbokod,Bács-Kiskun
6454,Bácsborsód,Bács-Kiskun
6511,Bácsszentgyörgy,Bács-Kiskun
6425,Bácsszőlős,Bács-Kiskun
8261,Badacsonytomaj,Veszprém
8257,Badacsonytomaj,Veszprém
8258,Badacsonytomaj,Veszprém
8262,Badacsonytördemic,Veszprém
8263,Badacsonytördemic,Veszprém
2191,Bag,Pest
4286,Bagamér,Hajdú-Bihar
8977,Baglad,Zala
8992,Bagod,Zala
9145,Bágyogszovát,Győr-Moson-Sopron
2836,Baj,Komárom-Esztergom
6503,Baja,Bács-Kiskun
6500,Baja,Bács-Kiskun
9944,Bajánsenye,Vas
2525,Bajna,Komárom-Esztergom
2533,Bajót,Komárom-Esztergom
8945,Bak,Zala
7585,Bakháza,Somogy
7393,Bakóca,Baranya
4164,Bakonszeg,Hajdú-Bihar
7675,Bakonya,Baranya
2885,Bakonybánk,Komárom-Esztergom
8427,Bakonybél,Veszprém
8056,Bakonycsernye,Fejér
8433,Bakonygyirót,Veszprém
8581,Bakonyjákó,Veszprém
8571,Bakonykoppány,Veszprém
8045,Bakonykúti,Fejér
8422,Bakonynána,Veszprém
8418,Bakonyoszlop,Veszprém
9088,Bakonypéterd,Győr-Moson-Sopron
8457,Bakonypölöske,Veszprém
8557,Bakonyság,Veszprém
2861,Bakonysárkány,Komárom-Esztergom
8557,Bakonyszentiván,Veszprém
8430,Bakonyszentkirály,Veszprém
8431,Bakonyszentlászló,Veszprém
2884,Bakonyszombathely,Komárom-Esztergom
8572,Bakonyszücs,Veszprém
8555,Bakonytamási,Veszprém
6768,Baks,Csongrád
7834,Baksa,Baranya
3836,Baktakék,Borsod-Abaúj-Zemplén
4561,Baktalórántháza,Szabolcs-Szatmár-Bereg
8946,Baktüttös,Zala
3780,Balajt,Borsod-Abaúj-Zemplén
2660,Balassagyarmat,Nógrád
6764,Balástya,Csongrád
3347,Balaton,Heves
8243,Balatonakali,Veszprém
8220,Balatonalmádi,Veszprém
8649,Balatonberény,Somogy
8691,Balatonboglár,Somogy
8630,Balatonboglár,Somogy
8272,Balatoncsicsó,Veszprém
8312,Balatonederics,Veszprém
8613,Balatonendréd,Somogy
8646,Balatonfenyves,Somogy
8164,Balatonfőkajár,Veszprém
8623,Balatonföldvár,Somogy
8236,Balatonfüred,Veszprém
8230,Balatonfüred,Veszprém
8184,Balatonfűzfő,Veszprém
8175,Balatonfűzfő,Veszprém
8313,Balatongyörök,Zala
8275,Balatonhenye,Veszprém
8172,Balatonkenese,Veszprém
8174,Balatonkenese,Veszprém
8648,Balatonkeresztúr,Somogy
8638,Balatonlelle,Somogy
8753,Balatonmagyaród,Zala
8647,Balatonmáriafürdő,Somogy
8637,Balatonőszöd,Somogy
8255,Balatonrendes,Veszprém
8651,Balatonszabadi,Somogy
8624,Balatonszárszó,Somogy
8636,Balatonszemes,Somogy
8710,Balatonszentgyörgy,Somogy
8252,Balatonszepezd,Veszprém
8233,Balatonszőlős,Veszprém
8242,Balatonudvari,Veszprém
8712,Balatonújlak,Somogy
8171,Balatonvilágos,Veszprém
8054,Balinka,Fejér
8055,Balinka,Fejér
4233,Balkány,Szabolcs-Szatmár-Bereg
6035,Ballószög,Bács-Kiskun
4060,Balmazújváros,Hajdú-Bihar
9771,Balogunyom,Vas
6412,Balotaszállás,Bács-Kiskun
4468,Balsa,Szabolcs-Szatmár-Bereg
8614,Bálványos,Somogy
2944,Bana,Komárom-Esztergom
8443,Bánd,Veszprém
7914,Bánfa,Baranya
3642,Bánhorváti,Borsod-Abaúj-Zemplén
2653,Bánk,Nógrád
8891,Bánokszentgyörgy,Zala
3654,Bánréve,Borsod-Abaúj-Zemplén
7711,Bár,Baranya
4937,Barabás,Szabolcs-Szatmár-Bereg
2427,Baracs,Fejér
2426,Baracs,Fejér
2471,Baracska,Fejér
4161,Báránd,Hajdú-Bihar
7841,Baranyahidvég,Baranya
7384,Baranyajenő,Baranya
7383,Baranyaszentgyörgy,Baranya
9169,Barbacs,Győr-Moson-Sopron
7557,Barcs,Somogy
7570,Barcs,Somogy
7478,Bárdudvarnok,Somogy
8948,Barlahida,Zala
3126,Bárna,Nógrád
8291,Barnag,Veszprém
2883,Bársonyos,Komárom-Esztergom
7923,Basal,Baranya
3881,Baskó,Borsod-Abaúj-Zemplén
7149,Báta,Tolna
7164,Bátaapáti,Tolna
7140,Bátaszék,Tolna
7258,Baté,Somogy
6528,Bátmonostor,Bács-Kiskun
3078,Bátonyterenye,Nógrád
3070,Bátonyterenye,Nógrád
3151,Bátonyterenye,Nógrád
3336,Bátor,Heves
4343,Bátorliget,Szabolcs-Szatmár-Bereg
5830,Battonya,Békés
6351,Bátya,Bács-Kiskun
8797,Batyk,Zala
8887,Bázakerettye,Zala
8352,Bazsi,Veszprém
8565,Béb,Veszprém
8866,Becsehely,Zala
2693,Becske,Nógrád
3768,Becskeháza,Borsod-Abaúj-Zemplén
8985,Becsvölgye,Zala
8666,Bedegkér,Somogy
4128,Bedő,Hajdú-Bihar
9683,Bejcgyertyános,Vas
8515,Békás,Veszprém
3903,Bekecs,Borsod-Abaúj-Zemplén
5630,Békés,Békés
5623,Békéscsaba,Békés
5671,Békéscsaba,Békés
5600,Békéscsaba,Békés
5946,Békéssámson,Békés
5561,Békésszentandrás,Békés
3343,Bekölce,Heves
3346,Bélapátfalva,Heves
7589,Bélavár,Somogy
7061,Belecska,Tolna
9343,Beled,Győr-Moson-Sopron
7543,Beleg,Somogy
8855,Belezna,Zala
5643,Bélmegyer,Békés
2455,Beloiannisz,Fejér
8978,Belsősárd,Zala
7747,Belvárdgyula,Baranya
4643,Benk,Szabolcs-Szatmár-Bereg
2216,Bénye,Pest
3045,Bér,Nógrád
9831,Bérbaltavár,Vas
2687,Bercel,Nógrád
4934,Beregdaróc,Szabolcs-Szatmár-Bereg
4933,Beregsurány,Szabolcs-Szatmár-Bereg
4116,Berekböszörmény,Hajdú-Bihar
5309,Berekfürdő,Jász-Nagykun-Szolnok
7827,Beremend,Baranya
3704,Berente,Borsod-Abaúj-Zemplén
3834,Beret,Borsod-Abaúj-Zemplén
4103,Berettyóújfalu,Hajdú-Bihar
4100,Berettyóújfalu,Hajdú-Bihar
8182,Berhida,Veszprém
8181,Berhida,Veszprém
2641,Berkenye,Nógrád
7664,Berkesd,Baranya
4521,Berkesz,Szabolcs-Szatmár-Bereg
2639,Bernecebaráti,Pest
3575,Berzék,Borsod-Abaúj-Zemplén
7516,Berzence,Somogy
7838,Besence,Baranya
4557,Besenyőd,Szabolcs-Szatmár-Bereg
3373,Besenyőtelek,Heves
5071,Besenyszög,Jász-Nagykun-Szolnok
2456,Besnyő,Fejér
4488,Beszterec,Szabolcs-Szatmár-Bereg
7782,Bezedek,Baranya
9223,Bezenye,Győr-Moson-Sopron
8934,Bezeréd,Zala
9162,Bezi,Győr-Moson-Sopron
2051,Biatorbágy,Pest
7671,Bicsérd,Baranya
2060,Bicske,Fejér
4175,Bihardancsháza,Hajdú-Bihar
4110,Biharkeresztes,Hajdú-Bihar
4172,Biharnagybajom,Hajdú-Bihar
4174,Bihartorda,Hajdú-Bihar
5538,Biharugra,Békés
7043,Bikács,Tolna
7346,Bikal,Baranya
4235,Biri,Szabolcs-Szatmár-Bereg
7747,Birján,Baranya
7811,Bisse,Baranya
9625,Bő,Vas
9542,Boba,Zala
8943,Bocfölde,Heves
3368,Boconád,Bács-Kiskun
3574,Bőcs,Zala
6235,Bócsa,Hajdú-Bihar
8776,Bocska,Baranya
4241,Bocskaikert,Fejér
7672,Boda,Fejér
8053,Bodajk,Baranya
8991,Böde,Győr-Moson-Sopron
8969,Bödeháza,Heves
8085,Bodmér,Veszprém
7394,Bodolyabér,Somogy
9134,Bodonhely,Borsod-Abaúj-Zemplén
3243,Bodony,Borsod-Abaúj-Zemplén
8471,Bodorfa,Borsod-Abaúj-Zemplén
7439,Bodrog,Borsod-Abaúj-Zemplén
3987,Bodroghalom,Borsod-Abaúj-Zemplén
3916,Bodrogkeresztúr,Borsod-Abaúj-Zemplén
3917,Bodrogkisfalud,Borsod-Abaúj-Zemplén
3943,Bodrogolaszi,Borsod-Abaúj-Zemplén
3768,Bódvalenke,Baranya
3764,Bódvarákó,Baranya
3763,Bódvaszilas,Baranya
3412,Bogács,Tolna
7742,Bogád,Győr-Moson-Sopron
7836,Bogádmindszent,Hajdú-Bihar
7966,Bogdása,Zala
9612,Bögöt,Komárom-Esztergom
9675,Bögöte,Nógrád
7132,Bogyiszló,Heves
9324,Bogyoszló,Baranya
8719,Böhönye,Borsod-Abaúj-Zemplén
4114,Bojt,Borsod-Abaúj-Zemplén
8741,Bókaháza,Borsod-Abaúj-Zemplén
2855,Bokod,Somogy
4231,Bököny,Somogy
3066,Bokor,Baranya
7025,Bölcske,Zala
3016,Boldog,Somogy
7937,Boldogasszonyfa,Tolna
3884,Boldogkőújfalu,Tolna
3885,Boldogkőváralja,Tolna
3794,Boldva,Csongrád
7517,Bolhás,Vas
7586,Bolhó,Baranya
7754,Bóly,Bács-Kiskun
8992,Boncodfölde,Zala
7281,Bonnya,Borsod-Abaúj-Zemplén
9073,Bőny,Borsod-Abaúj-Zemplén
7187,Bonyhád,Borsod-Abaúj-Zemplén
7150,Bonyhád,Borsod-Abaúj-Zemplén
7158,Bonyhádvarasd,Borsod-Abaúj-Zemplén
9152,Börcs,Borsod-Abaúj-Zemplén
6795,Bordány,Borsod-Abaúj-Zemplén
9554,Borgáta,Nógrád
7756,Borjád,Veszprém
6445,Borota,Veszprém
8885,Borsfa,Baranya
3658,Borsodbóta,Szabolcs-Szatmár-Bereg
3426,Borsodgeszt,Baranya
3462,Borsodivánka,Vas
3672,Borsodnádasd,Vas
3671,Borsodnádasd,Borsod-Abaúj-Zemplén
3623,Borsodszentgyörgy,Vas
3796,Borsodszirák,Borsod-Abaúj-Zemplén
2644,Borsosberény,Zala
8479,Borszörcsök,Zala
8428,Borzavár,Vas
8772,Börzönce,Vas
9167,Bősárkány,Somogy
7811,Bosta,Szabolcs-Szatmár-Bereg
7475,Bőszénfa,Tolna
4955,Botpalád,Győr-Moson-Sopron
7900,Botykapeterd,Győr-Moson-Sopron
9727,Bozsok,Zala
3994,Bózsva,Győr-Moson-Sopron
9752,Bozzai,Somogy
5527,Bucsa,Békés
9792,Bucsu,Vas
8925,Bucsuszentlászló,Zala
8893,Bucsuta,Zala
2093,Budajenő,Pest
2011,Budakalász,Pest
2092,Budakeszi,Pest
2040,Budaörs,Pest
1069,Budapest,
1011,Budapest,
1012,Budapest,
1013,Budapest,
1014,Budapest,
1015,Budapest,
1016,Budapest,
1021,Budapest,
1022,Budapest,
1023,Budapest,
1024,Budapest,
1025,Budapest,
1026,Budapest,
1027,Budapest,
1028,Budapest,
1029,Budapest,
1031,Budapest,
1032,Budapest,
1033,Budapest,
1034,Budapest,
1035,Budapest,
1036,Budapest,
1037,Budapest,
1038,Budapest,
1039,Budapest,
1041,Budapest,
1042,Budapest,
1043,Budapest,
1044,Budapest,
1045,Budapest,
1046,Budapest,
1047,Budapest,
1048,Budapest,
1051,Budapest,
1052,Budapest,
1053,Budapest,
1054,Budapest,
1055,Budapest,
1056,Budapest,
1061,Budapest,
1062,Budapest,
1063,Budapest,
1064,Budapest,
1065,Budapest,
1066,Budapest,
1067,Budapest,
1068,Budapest,
1071,Budapest,
1072,Budapest,
1073,Budapest,
1074,Budapest,
1075,Budapest,
1076,Budapest,
1077,Budapest,
1078,Budapest,
1081,Budapest,
1082,Budapest,
1083,Budapest,
1084,Budapest,
1085,Budapest,
1086,Budapest,
1087,Budapest,
1088,Budapest,
1089,Budapest,
1091,Budapest,
1092,Budapest,
1093,Budapest,
1094,Budapest,
1095,Budapest,
1096,Budapest,
1097,Budapest,
1098,Budapest,
1101,Budapest,
1102,Budapest,
1103,Budapest,
1104,Budapest,
1105,Budapest,
1106,Budapest,
1107,Budapest,
1108,Budapest,
1111,Budapest,
1112,Budapest,
1113,Budapest,
1114,Budapest,
1115,Budapest,
1116,Budapest,
1117,Budapest,
1118,Budapest,
1119,Budapest,
1121,Budapest,
1122,Budapest,
1123,Budapest,
1124,Budapest,
1125,Budapest,
1126,Budapest,
1131,Budapest,
1132,Budapest,
1133,Budapest,
1134,Budapest,
1135,Budapest,
1136,Budapest,
1137,Budapest,
1138,Budapest,
1139,Budapest,
1141,Budapest,
1142,Budapest,
1143,Budapest,
1144,Budapest,
1145,Budapest,
1146,Budapest,
1147,Budapest,
1148,Budapest,
1149,Budapest,
1151,Budapest,
1152,Budapest,
1153,Budapest,
1154,Budapest,
1155,Budapest,
1156,Budapest,
1157,Budapest,
1158,Budapest,
1161,Budapest,
1162,Budapest,
1163,Budapest,
1164,Budapest,
1165,Budapest,
1171,Budapest,
1172,Budapest,
1173,Budapest,
1174,Budapest,
1181,Budapest,
1182,Budapest,
1183,Budapest,
1184,Budapest,
1185,Budapest,
1186,Budapest,
1188,Budapest,
1191,Budapest,
1192,Budapest,
1193,Budapest,
1194,Budapest,
1195,Budapest,
1196,Budapest,
1201,Budapest,
1202,Budapest,
1203,Budapest,
1204,Budapest,
1205,Budapest,
1211,Budapest,
1212,Budapest,
1213,Budapest,
1214,Budapest,
1215,Budapest,
1221,Budapest,
1222,Budapest,
1223,Budapest,
1224,Budapest,
1225,Budapest,
1237,Budapest,
1238,Budapest,
1239,Budapest,
1529,Budapest,
6114,Bugac,Bács-Kiskun
6114,Bugacpusztaháza,Bács-Kiskun
2347,Bugyi,Pest
4483,Buj,Szabolcs-Szatmár-Bereg
3047,Buják,Nógrád
9740,Bük,Somogy
9737,Bük,Vas
3422,Bükkábrány,Vas
3554,Bükkaranyos,Borsod-Abaúj-Zemplén
3648,Bükkmogyorósd,Borsod-Abaúj-Zemplén
7682,Bükkösd,Borsod-Abaúj-Zemplén
3335,Bükkszék,Baranya
3257,Bükkszenterzsébet,Heves
3557,Bükkszentkereszt,Heves
3346,Bükkszentmárton,Borsod-Abaúj-Zemplén
3414,Bükkzsérc,Heves
7973,Bürüs,Borsod-Abaúj-Zemplén
7273,Büssü,Baranya
3821,Büttös,Somogy
8695,Buzsák,Borsod-Abaúj-Zemplén
9725,Cák,Vas
9165,Cakóháza,Győr-Moson-Sopron
7013,Cece,Fejér
4732,Cégénydányád,Szabolcs-Szatmár-Bereg
2738,Cegléd,Pest
2700,Cegléd,Pest
2737,Ceglédbercel,Pest
9541,Celldömölk,Vas
9500,Celldömölk,Vas
3123,Cered,Nógrád
9624,Chernelházadamonya,Vas
5462,Cibakháza,Jász-Nagykun-Szolnok
3973,Cigánd,Borsod-Abaúj-Zemplén
7161,Cikó,Tolna
9364,Cirák,Győr-Moson-Sopron
5551,Csabacsűd,Békés
5609,Csabaszabadi,Békés
2064,Csabdi,Fejér
8474,Csabrendek,Veszprém
9375,Csáfordjánosfa,Győr-Moson-Sopron
4967,Csaholc,Szabolcs-Szatmár-Bereg
8163,Csajág,Veszprém
8735,Csákány,Somogy
9919,Csákánydoroszló,Vas
8073,Csákberény,Fejér
8083,Csákvár,Fejér
6915,Csanádalberti,Csongrád
5662,Csanádapáca,Békés
6913,Csanádpalota,Csongrád
9654,Csánig,Vas
3015,Csány,Heves
7964,Csányoszró,Baranya
6647,Csanytelek,Csongrád
8756,Csapi,Zala
9372,Csapod,Győr-Moson-Sopron
5621,Csárdaszállás,Békés
7811,Csarnóta,Baranya
4844,Csaroda,Szabolcs-Szatmár-Bereg
2858,Császár,Komárom-Esztergom
6239,Császártöltés,Bács-Kiskun
4973,Császló,Szabolcs-Szatmár-Bereg
6523,Csátalja,Bács-Kiskun
8943,Csatár,Zala
5064,Csataszög,Jász-Nagykun-Szolnok
2888,Csatka,Komárom-Esztergom
6448,Csávoly,Bács-Kiskun
7935,Csebény,Baranya
3052,Csécse,Nógrád
4742,Csegöld,Szabolcs-Szatmár-Bereg
8445,Csehbánya,Veszprém
9833,Csehi,Vas
9834,Csehimindszent,Vas
2949,Csém,Komárom-Esztergom
2713,Csemő,Pest
9764,Csempeszkopács,Vas
6765,Csengele,Csongrád
4765,Csenger,Szabolcs-Szatmár-Bereg
4743,Csengersima,Szabolcs-Szatmár-Bereg
4764,Csengerújfalu,Szabolcs-Szatmár-Bereg
6222,Csengőd,Bács-Kiskun
9611,Csénye,Vas
3837,Csenyéte,Borsod-Abaúj-Zemplén
2946,Csép,Komárom-Esztergom
5475,Csépa,Jász-Nagykun-Szolnok
9735,Csepreg,Vas
9375,Csér,Győr-Moson-Sopron
7683,Cserdi,Baranya
7472,Cserénfa,Somogy
3413,Cserépfalu,Borsod-Abaúj-Zemplén
3417,Cserépváralja,Borsod-Abaúj-Zemplén
2694,Cserháthaláp,Nógrád
2676,Cserhátsurány,Nógrád
3066,Cserhátszentiván,Nógrád
5465,Cserkeszőlő,Jász-Nagykun-Szolnok
7673,Cserkút,Baranya
3648,Csernely,Borsod-Abaúj-Zemplén
8372,Cserszegtomaj,Zala
8951,Csertalakos,Zala
7900,Csertő,Baranya
8419,Csesznek,Veszprém
8973,Csesztreg,Zala
2678,Csesztve,Nógrád
8417,Csetény,Veszprém
2212,Csévharaszt,Pest
7225,Csibrák,Tolna
6424,Csikéria,Bács-Kiskun
7341,Csikóstőttős,Tolna
9127,Csikvánd,Győr-Moson-Sopron
3442,Csincse,Borsod-Abaúj-Zemplén
9836,Csipkerek,Vas
2673,Csitár,Nógrád
3848,Csobád,Borsod-Abaúj-Zemplén
3927,Csobaj,Borsod-Abaúj-Zemplén
2014,Csobánka,Pest
8999,Csöde,Fejér
8495,Csögle,Somogy
8074,Csókakő,Borsod-Abaúj-Zemplén
4145,Csökmő,Komárom-Esztergom
7526,Csököly,Bács-Kiskun
7555,Csokonyavisonta,Somogy
3647,Csokvaomány,Pest
2521,Csolnok,Somogy
6135,Csólyospálos,Csongrád
7253,Csoma,Csongrád
2161,Csomád,Zala
7432,Csombárd,Baranya
8700,Csömend,Veszprém
8957,Csömödér,Fejér
2141,Csömör,Győr-Moson-Sopron
9513,Csönge,Békés
6648,Csongrád,Veszprém
6640,Csongrád,Zala
8918,Csonkahegyhát,Veszprém
7940,Csonkamindszent,Hajdú-Bihar
8229,Csopak,Somogy
8041,Csór,Somogy
9300,Csorna,Zala
8873,Csörnyeföld,Pest
9962,Csörötnek,Vas
5920,Csorvás,Zala
8122,Csősz,Vas
8558,Csót,Fejér
2615,Csővár,Pest
8840,Csurgó,Somogy
8840,Csurgónagymarton,Somogy
7843,Cún,Baranya
2373,Dabas,Pest
2371,Dabas,Pest
2370,Dabas,Pest
8345,Dabronc,Veszprém
8485,Dabrony,Veszprém
2854,Dad,Komárom-Esztergom
2522,Dág,Komárom-Esztergom
8592,Dáka,Veszprém
7211,Dalmand,Tolna
3780,Damak,Borsod-Abaúj-Zemplén
3978,Dámóc,Borsod-Abaúj-Zemplén
2735,Dánszentmiklós,Pest
2118,Dány,Pest
9917,Daraboshegy,Vas
7988,Darány,Somogy
4737,Darnó,Szabolcs-Szatmár-Bereg
9232,Darnózseli,Győr-Moson-Sopron
4144,Darvas,Hajdú-Bihar
6524,Dávod,Bács-Kiskun
2694,Debercsény,Nógrád
4079,Debrecen,Hajdú-Bihar
4078,Debrecen,Hajdú-Bihar
4225,Debrecen,Hajdú-Bihar
4063,Debrecen,Hajdú-Bihar
4000,Debrecen,Hajdú-Bihar
4002,Debrecen,Hajdú-Bihar
4024,Debrecen,Hajdú-Bihar
4025,Debrecen,Hajdú-Bihar
4026,Debrecen,Hajdú-Bihar
4027,Debrecen,Hajdú-Bihar
4028,Debrecen,Hajdú-Bihar
4029,Debrecen,Hajdú-Bihar
4030,Debrecen,Hajdú-Bihar
4031,Debrecen,Hajdú-Bihar
4032,Debrecen,Hajdú-Bihar
4033,Debrecen,Hajdú-Bihar
4034,Debrecen,Hajdú-Bihar
3825,Debréte,Borsod-Abaúj-Zemplén
7144,Decs,Tolna
3643,Dédestapolcsány,Borsod-Abaúj-Zemplén
8135,Dég,Fejér
2649,Dejtár,Nógrád
2337,Délegyháza,Pest
4516,Demecser,Szabolcs-Szatmár-Bereg
3395,Demjén,Heves
7915,Dencsháza,Baranya
9365,Dénesfa,Győr-Moson-Sopron
4130,Derecske,Hajdú-Bihar
6621,Derekegyház,Csongrád
6772,Deszk,Csongrád
